state,x,y
Ladakh,-62.0,232.0
Jammu Kashmir,-121.0,216.0
Himachal Pradesh,-79.0,174.0
Punjab,-119.0,165.0
Uttarakhand,-47.0,139.0
Haryana,-97.0,121.0
Delhi,-81.0,110.0
Uttar Pradesh,-31.0,85.0
Rajasthan,-143.0,83.0
Gujarat,-178.0,5.0
Bihar,59.0,54.0
Sikkim,102.0,95.0
West Bengal,104.0,16.0
Jharkhand,50.0,18.0
Meghalaya,158.0,60.0
Assam,178.0,81.0
Arunachal Pradesh,201.0,129.0
Nagaland,207.0,78.0
Manipur,197.0,47.0
Mizoram,182.0,17.0
Odisha,45.0,-32.0
Chhattisgarhh,3.0,-16.0
Madhya Pradesh,-73.0,6.0
Maharashtra,-121.0,-69.0
Goa,-149.0,-139.0
Telangana,-55.0,-84.0
Andhra Pradesh,-47.0,-144.0
Karnataka,-121.0,-154.0
Kerala,-104.0,-236.0
Tamilnadu,-61.0,-223.0
Dadra,-160.0,-48.0
Panduchery,-40.0,-206.0
